Experiment;Model;Optimizer;Epoch;Train PPL;Valid PPL;Best val;TPE;Wall-clock
Exp 4;Transformer;ADAM;25;14.5060855682621;216.256248261051;124.266160769713;94.5424489974975;2520
Exp 4;Transformer;ADAM;26;13.3172405744519;229.918408628903;124.266160769713;94.8672769069671;2615
Exp 4;Transformer;ADAM;27;12.2625927060929;244.346866650188;124.266160769713;94.2797780036926;2709
Exp 4;Transformer;ADAM;28;11.3192746107105;257.178903311651;124.266160769713;94.2508955001831;2803
Exp 4;Transformer;ADAM;29;10.4458412533591;273.643039825241;124.266160769713;94.3016581535339;2897
Exp 4;Transformer;ADAM;30;9.65628643271371;288.193498597481;124.266160769713;94.4561033248901;2991
Exp 4;Transformer;ADAM;31;8.92087337940955;306.552172363138;124.266160769713;94.6420996189117;3086
Exp 4;Transformer;ADAM;32;8.25787254484113;332.253783027012;124.266160769713;94.7788310050964;3181
Exp 4;Transformer;ADAM;33;7.66180208202362;356.216505238489;124.266160769713;94.818823814392;3276
Exp 4;Transformer;ADAM;34;7.11916137882859;379.681899852741;124.266160769713;94.4625675678253;3370
Exp 4;Transformer;ADAM;35;6.6395801688379;410.088043136041;124.266160769713;95.866114616394;3466
Exp 4;Transformer;ADAM;36;6.18853241824837;441.138715168294;124.266160769713;94.9743082523346;3561
Exp 4;Transformer;ADAM;37;5.79781425499722;475.026862155285;124.266160769713;95.9369423389434;3657
Exp 4;Transformer;ADAM;38;5.42856463608355;495.811272072009;124.266160769713;95.2808427810669;3752
Exp 4;Transformer;ADAM;39;5.08165737219231;534.098103845561;124.266160769713;96.8157894611358;3849
Exp 2;GRU;ADAM;0;641.199252154;395.337711459;395.337711459;384.946368694305;385
Exp 2;GRU;ADAM;1;395.694579739;304.397975035;304.397975035;387.399166584014;772
Exp 2;GRU;ADAM;2;323.6564338;260.565065251;260.565065251;387.321576356887;1159
Exp 2;GRU;ADAM;3;282.52890692;233.437130822;233.437130822;387.347856283187;1546
Exp 2;GRU;ADAM;4;253.771552809;217.166990939;217.166990939;387.377297401428;1933
Exp 2;GRU;ADAM;5;231.183362021;198.951909857;198.951909857;387.332549810409;2320
Exp 2;GRU;ADAM;6;213.299586949;186.1811398;186.1811398;387.379343509674;2707
Exp 2;GRU;ADAM;7;198.217255948;175.345054332;175.345054332;387.308793544769;3094
Exp 2;GRU;ADAM;8;185.372389189;167.053487943;167.053487943;387.35267996788;3481
Exp 2;GRU;ADAM;9;174.527698952;159.587053119;159.587053119;387.327177762985;3868
Exp 2;GRU;ADAM;10;164.81015078;151.491728736;151.491728736;387.392310857772;4255
Exp 2;GRU;ADAM;11;155.984120711;146.180042629;146.180042629;387.12292599678;4642
Exp 2;GRU;ADAM;12;148.172082197;141.023523841;141.023523841;387.069229841232;5029
Exp 2;GRU;ADAM;13;141.235348436;136.685116935;136.685116935;387.083803892135;5416
Exp 2;GRU;ADAM;14;134.873697424;133.03687786;133.03687786;383.955517530441;5800
Exp 2;GRU;ADAM;15;129.098654263;129.989121815;129.989121815;381.491445541381;6181
Exp 2;GRU;ADAM;16;124.02815155;127.494060195;127.494060195;381.490807056427;6562
Exp 2;GRU;ADAM;17;119.14308024;124.643817696;124.643817696;381.516997814178;6944
Exp 2;GRU;ADAM;18;114.595415756;122.137057671;122.137057671;381.555509328842;7326
Exp 2;GRU;ADAM;19;110.353847434;120.352751481;120.352751481;381.483432531356;7707
Exp 2;GRU;ADAM;20;106.496540604;119.132072875;119.132072875;381.466810703277;8088
Exp 2;GRU;ADAM;21;103.115811331;118.007202816;118.007202816;381.499553442001;8469
Exp 2;GRU;ADAM;22;99.3799048377;116.434024588;116.434024588;381.553884744644;8851
Exp 2;GRU;ADAM;23;96.1750349361;115.330490788;115.330490788;381.553335666656;9233
Exp 2;GRU;ADAM;24;93.0534472649;114.645888386;114.645888386;381.550157308578;9615
Exp 2;GRU;ADAM;25;90.2079035692;114.317843346;114.317843346;381.506468057632;9997
Exp 2;GRU;ADAM;26;87.4624966399;113.570045325;113.570045325;381.514738559722;10379
Exp 2;GRU;ADAM;27;84.7456585238;112.84647741;112.84647741;381.513444662094;10761
Exp 2;GRU;ADAM;28;82.120078322;112.805184464;112.805184464;381.527739048004;11143
Exp 2;GRU;ADAM;29;79.7832651936;112.505370962;112.505370962;381.511800050735;11525
Exp 2;GRU;ADAM;30;77.6070733756;112.213115396;112.213115396;381.561904907226;11907
Exp 2;GRU;ADAM;31;75.2285432497;111.757302106;111.757302106;381.541222333908;12289
Exp 2;GRU;ADAM;32;72.9777391915;112.228842064;111.757302106;381.540186405181;12671
Exp 2;GRU;ADAM;33;71.0791071667;112.445040691;111.757302106;381.546006679534;13053
Exp 2;GRU;ADAM;34;69.0595046665;112.387033351;111.757302106;381.548649787902;13435
Exp 2;GRU;ADAM;35;67.1291672703;112.453120955;111.757302106;381.548199176788;13817
Exp 2;GRU;ADAM;36;65.3156579189;113.554428265;111.757302106;381.549443960189;14199
Exp 2;GRU;ADAM;37;63.5291053112;113.670800705;111.757302106;381.552477836608;14581
Exp 2;GRU;ADAM;38;64.8647330014;113.930222767;111.757302106;381.488810777664;14962
Exp 2;GRU;ADAM;39;60.3199974831;114.454464579;111.757302106;381.483878374099;15343
Exp 3;GRU;SGD;0;536.042269724;338.859891706;338.859891706;362.598320007324;363
Exp 3;GRU;SGD;1;298.713931377;234.598523456;234.598523456;362.301968097686;725
Exp 3;GRU;SGD;2;241.302374259;196.401947297;196.401947297;362.286130905151;1087
Exp 3;GRU;SGD;3;207.939046873;181.488932223;181.488932223;362.302491426467;1449
Exp 3;GRU;SGD;4;184.879297504;160.131335931;160.131335931;362.296299934387;1811
Exp 3;GRU;SGD;5;167.611184212;153.235416005;153.235416005;362.31714105606;2173
Exp 3;GRU;SGD;6;154.029375012;144.52595781;144.52595781;362.263508081436;2535
Exp 3;GRU;SGD;7;142.956438937;142.193372146;142.193372146;362.257833003997;2897
Exp 3;GRU;SGD;8;133.482373857;134.214806632;134.214806632;362.27585864067;3259
Exp 3;GRU;SGD;9;125.653624481;130.756457813;130.756457813;362.288038015365;3621
Exp 3;GRU;SGD;10;118.845518334;129.082963662;129.082963662;362.308113336563;3983
Exp 3;GRU;SGD;11;112.649091068;124.323945439;124.323945439;362.318888187408;4345
Exp 3;GRU;SGD;12;107.114312855;125.604203194;124.323945439;362.284724712371;4707
Exp 3;GRU;SGD;13;102.337096361;120.473053388;120.473053388;362.304743289947;5069
Exp 3;GRU;SGD;14;97.9221669115;120.944083858;120.473053388;362.292648792266;5431
Exp 3;GRU;SGD;15;93.7927193321;118.117501624;118.117501624;362.252193689346;5793
Exp 3;GRU;SGD;16;90.016932549;117.790200073;117.790200073;362.258362531662;6155
Exp 3;GRU;SGD;17;86.8519898953;115.389520066;115.389520066;362.26618528366;6517
Exp 3;GRU;SGD;18;83.4889195129;119.503862924;115.389520066;362.264600753784;6879
Exp 3;GRU;SGD;19;80.7691415383;116.697766103;115.389520066;362.302333831787;7241
Exp 3;GRU;SGD;20;78.0461650714;114.63138005;114.63138005;362.296947479248;7603
Exp 3;GRU;SGD;21;75.5756514242;119.464588489;114.63138005;362.295670986175;7965
Exp 3;GRU;SGD;22;73.2676618956;115.782876386;114.63138005;362.283461332321;8327
Exp 3;GRU;SGD;23;71.0564307952;116.203083686;114.63138005;362.232251882553;8689
Exp 3;GRU;SGD;24;69.1779021409;115.468810432;114.63138005;362.268359422683;9051
Exp 3;GRU;SGD;25;67.2403877035;115.03111946;114.63138005;362.277829885482;9413
Exp 3;GRU;SGD;26;65.4320749721;115.08113208;114.63138005;362.272289991378;9775
Exp 3;GRU;SGD;27;63.8360640475;116.489349993;114.63138005;362.273306369781;10137
Exp 3;GRU;SGD;28;62.4141310804;118.024986081;114.63138005;362.276610612869;10499
Exp 3;GRU;SGD;29;60.9185739225;115.824766999;114.63138005;362.266113519668;10861
Exp 3;GRU;SGD;30;59.6991437684;116.264940284;114.63138005;362.261209487915;11223
Exp 3;GRU;SGD;31;58.3259918707;116.995276478;114.63138005;362.28854727745;11585
Exp 3;GRU;SGD;32;56.9962178416;115.860584956;114.63138005;362.294407367706;11947
Exp 3;GRU;SGD;33;55.9741711721;118.104125445;114.63138005;362.291873455047;12309
Exp 3;GRU;SGD;34;54.9965937138;117.19638578;114.63138005;362.332645416259;12671
Exp 3;GRU;SGD;35;53.9124210762;119.177531153;114.63138005;362.3124294281;13033
Exp 3;GRU;SGD;36;53.0025751752;115.828878255;114.63138005;362.303972721099;13395
Exp 3;GRU;SGD;37;52.0091997415;118.819812275;114.63138005;362.298825263977;13757
Exp 3;GRU;SGD;38;51.1507286898;121.02435615;114.63138005;363.170672893524;14120
Exp 3;GRU;SGD;39;50.3659194999;122.334280857;114.63138005;367.560774087905;14488
Exp 5;GRU;SGD_LR_SCHEDULE;0;605.5424865;322.8467996;322.8467996;264.9784985;265
Exp 5;GRU;SGD_LR_SCHEDULE;1;299.5741173;234.3855405;234.3855405;265.526191;531
Exp 5;GRU;SGD_LR_SCHEDULE;2;233.6850896;187.0272761;187.0272761;265.8550594;797
Exp 5;GRU;SGD_LR_SCHEDULE;3;198.2083303;168.6447765;168.6447765;266.146497;1063
Exp 5;GRU;SGD_LR_SCHEDULE;4;175.3349515;151.2589876;151.2589876;266.2078581;1329
Exp 5;GRU;SGD_LR_SCHEDULE;5;158.789487;141.9504957;141.9504957;266.0108073;1595
Exp 5;GRU;SGD_LR_SCHEDULE;6;145.6573575;135.6190814;135.6190814;266.1151648;1861
Exp 5;GRU;SGD_LR_SCHEDULE;7;135.517658;129.5797884;129.5797884;266.0892417;2127
Exp 5;GRU;SGD_LR_SCHEDULE;8;126.7949951;125.5193754;125.5193754;266.0937095;2393
Exp 5;GRU;SGD_LR_SCHEDULE;9;119.8129886;123.0007977;123.0007977;265.4287274;2658
Exp 5;GRU;SGD_LR_SCHEDULE;10;113.5303498;119.8860486;119.8860486;264.7826729;2923
Exp 5;GRU;SGD_LR_SCHEDULE;11;108.1452764;118.5301887;118.5301887;264.4849408;3187
Exp 5;GRU;SGD_LR_SCHEDULE;12;103.6481357;116.9261219;116.9261219;264.367326;3451
Exp 5;GRU;SGD_LR_SCHEDULE;13;99.58774463;115.2036364;115.2036364;264.5665421;3716
Exp 5;GRU;SGD_LR_SCHEDULE;14;95.8700541;115.2950776;115.2036364;264.3308611;3980
Exp 5;GRU;SGD_LR_SCHEDULE;15;89.86833946;112.4120294;112.4120294;264.8425467;4245
Exp 5;GRU;SGD_LR_SCHEDULE;16;82.67385936;109.5004776;109.5004776;266.3492439;4511
Exp 5;GRU;SGD_LR_SCHEDULE;17;76.1704719;107.1319023;107.1319023;266.6928883;4778
Exp 5;GRU;SGD_LR_SCHEDULE;18;71.6457742;105.9230681;105.9230681;266.5708323;5045
Exp 5;GRU;SGD_LR_SCHEDULE;19;68.86648895;104.9853391;104.9853391;266.5952656;5312
Exp 5;GRU;SGD_LR_SCHEDULE;20;67.76825095;103.9730892;103.9730892;266.5859404;5579
Exp 5;GRU;SGD_LR_SCHEDULE;21;67.32506081;103.3892651;103.3892651;266.790843;5846
Exp 5;GRU;SGD_LR_SCHEDULE;22;67.10073107;103.194661;103.194661;266.941354;6113
Exp 5;GRU;SGD_LR_SCHEDULE;23;66.94994838;103.0410821;103.0410821;266.911947;6380
Exp 5;GRU;SGD_LR_SCHEDULE;24;67.02033144;103.0042807;103.0042807;267.1602609;6647
Exp 5;GRU;SGD_LR_SCHEDULE;25;66.91917196;102.9968009;102.9968009;266.9141834;6914
Exp 5;GRU;SGD_LR_SCHEDULE;26;66.85588297;102.9954039;102.9954039;266.996953;7181
Exp 5;GRU;SGD_LR_SCHEDULE;27;66.99482293;102.9951742;102.9951742;266.400902;7447
Exp 5;GRU;SGD_LR_SCHEDULE;28;66.97322457;102.9951764;102.9951742;265.5756137;7713
Exp 5;GRU;SGD_LR_SCHEDULE;29;66.88748993;102.9951719;102.9951719;266.5537729;7980
Exp 5;GRU;SGD_LR_SCHEDULE;30;66.90639831;102.9951757;102.9951719;266.5540831;8247
Exp 5;GRU;SGD_LR_SCHEDULE;31;66.97509112;102.9951712;102.9951712;266.2671554;8513
Exp 5;GRU;SGD_LR_SCHEDULE;32;66.95452841;102.9951757;102.9951712;265.2121506;8778
Exp 5;GRU;SGD_LR_SCHEDULE;33;66.93195832;102.9951757;102.9951712;265.4242711;9043
Exp 5;GRU;SGD_LR_SCHEDULE;34;66.93157641;102.9951757;102.9951712;265.9154825;9309
Exp 5;GRU;SGD_LR_SCHEDULE;35;66.89951939;102.9951757;102.9951712;265.5806279;9575
Exp 5;GRU;SGD_LR_SCHEDULE;36;66.94677523;102.9951757;102.9951712;266.1136162;9841
Exp 5;GRU;SGD_LR_SCHEDULE;37;66.92075904;102.9951757;102.9951712;265.8147357;10107
Exp 5;GRU;SGD_LR_SCHEDULE;38;67.0041472;102.9951757;102.9951712;266.1863523;10373
Exp 5;GRU;SGD_LR_SCHEDULE;39;66.92404288;102.9951757;102.9951712;266.4647307;10639
Exp 4;RNN;ADAM;0;710.4776692;425.1879072;425.1879072;159.9934688;7806
Exp 4;RNN;ADAM;1;430.4026452;329.8617605;329.8617605;157.3939712;7963
Exp 4;RNN;ADAM;2;350.7028972;282.9468151;282.9468151;157.3604159;8120
Exp 4;RNN;ADAM;3;308.1739268;258.1433448;258.1433448;157.2631254;8277
Exp 4;RNN;ADAM;4;280.0064334;239.1846038;239.1846038;157.3800998;8434
Exp 4;RNN;ADAM;5;258.5112965;226.0940191;226.0940191;157.3527431;8591
Exp 4;RNN;ADAM;6;241.7681304;214.0592253;214.0592253;157.2995107;8748
Exp 4;RNN;ADAM;7;228.0677331;205.2246983;205.2246983;157.2960041;8905
Exp 4;RNN;ADAM;8;216.1974597;198.1055265;198.1055265;157.295697;9062
Exp 4;RNN;ADAM;9;206.2498301;190.3456347;190.3456347;157.3216629;9219
Exp 4;RNN;ADAM;10;197.6276131;184.1378692;184.1378692;157.4858398;9376
Exp 4;RNN;ADAM;11;189.7062211;184.2152297;184.1378692;157.2535107;9533
Exp 4;RNN;ADAM;12;183.165961;175.5605146;175.5605146;157.4471195;9690
Exp 4;RNN;ADAM;13;176.6608976;174.7099748;174.7099748;157.3194311;9847
Exp 4;RNN;ADAM;14;170.9231344;170.6390605;170.6390605;157.4571366;10004
Exp 4;RNN;ADAM;15;165.678474;168.9044344;168.9044344;157.6917548;10162
Exp 4;RNN;ADAM;16;161.0029431;164.5307814;164.5307814;157.1804674;10319
Exp 4;RNN;ADAM;17;156.5199696;160.7558755;160.7558755;157.8898239;10477
Exp 4;RNN;ADAM;18;152.5897923;161.0343317;160.7558755;157.7134948;10635
Exp 4;RNN;ADAM;19;148.7779702;157.6004025;157.6004025;157.8790622;10793
Exp 4;RNN;ADAM;20;145.4269833;154.646253;154.646253;157.7456384;10951
Exp 4;RNN;ADAM;21;142.217048;153.74861;153.74861;157.8072937;11109
Exp 4;RNN;ADAM;22;139.043377;151.7683064;151.7683064;158.0378015;11267
Exp 4;RNN;ADAM;23;135.8984056;151.184888;151.184888;157.8795199;11425
Exp 4;RNN;ADAM;24;133.3334722;149.8038733;149.8038733;157.5320432;11583
Exp 4;RNN;ADAM;25;130.7157848;148.2762594;148.2762594;157.5199187;11741
Exp 4;RNN;ADAM;26;128.2139694;147.5055505;147.5055505;157.3107288;11898
Exp 4;RNN;ADAM;27;125.8724368;147.3175137;147.3175137;157.6402249;12056
Exp 4;RNN;ADAM;28;123.7211598;147.3212638;147.3175137;157.1243672;12213
Exp 4;RNN;ADAM;29;121.4709745;146.3923262;146.3923262;157.5684576;12371
Exp 4;RNN;ADAM;30;119.4366543;145.7695491;145.7695491;157.2765794;12528
Exp 4;RNN;ADAM;31;117.3451644;145.7900159;145.7695491;157.4105952;12685
Exp 4;RNN;ADAM;32;115.6423838;143.8468502;143.8468502;157.647403;12843
Exp 4;RNN;ADAM;33;113.9245247;144.0982369;143.8468502;157.460916;13000
Exp 4;RNN;ADAM;34;112.1155503;143.5808242;143.5808242;157.679091;13158
Exp 4;RNN;ADAM;35;110.4897158;144.2270258;143.5808242;157.5390928;13316
Exp 4;RNN;ADAM;36;108.9712059;142.8799831;142.8799831;157.6591322;13474
Exp 4;RNN;ADAM;37;107.3245764;141.5778684;141.5778684;157.8618605;13632
Exp 4;RNN;ADAM;38;105.6821815;141.3448853;141.3448853;157.7148864;13790
Exp 4;RNN;ADAM;39;104.5133473;141.3861537;141.3448853;157.586704;13948
Exp 6;RNN;SGD_LR_SCHEDULE;0;727.5775133;433.7716192;433.7716192;149.8279691;1820
Exp 6;RNN;SGD_LR_SCHEDULE;1;415.1872312;324.9268431;324.9268431;149.5924251;1970
Exp 6;RNN;SGD_LR_SCHEDULE;2;340.3841775;277.4925526;277.4925526;149.8667219;2120
Exp 6;RNN;SGD_LR_SCHEDULE;3;298.9760187;254.6317365;254.6317365;149.6589398;2270
Exp 6;RNN;SGD_LR_SCHEDULE;4;271.3107821;236.6116601;236.6116601;149.9300573;2420
Exp 6;RNN;SGD_LR_SCHEDULE;5;252.9944655;228.1849257;228.1849257;149.7388754;2570
Exp 6;RNN;SGD_LR_SCHEDULE;6;237.5397323;211.4307621;211.4307621;149.8816779;2720
Exp 6;RNN;SGD_LR_SCHEDULE;7;225.1785818;210.8250171;210.8250171;149.7988374;2870
Exp 6;RNN;SGD_LR_SCHEDULE;8;215.154731;201.1692479;201.1692479;149.9348712;3020
Exp 6;RNN;SGD_LR_SCHEDULE;9;205.5660713;194.9835354;194.9835354;149.9213097;3170
Exp 6;RNN;SGD_LR_SCHEDULE;10;198.338857;186.6415635;186.6415635;149.842119;3320
Exp 6;RNN;SGD_LR_SCHEDULE;11;192.6096067;195.4176351;186.6415635;149.8200238;3470
Exp 6;RNN;SGD_LR_SCHEDULE;12;186.986868;181.5485504;181.5485504;149.7520096;3620
Exp 6;RNN;SGD_LR_SCHEDULE;13;181.9789604;179.9352504;179.9352504;149.9971793;3770
Exp 6;RNN;SGD_LR_SCHEDULE;14;176.9651812;176.1837546;176.1837546;149.8203619;3920
Exp 6;RNN;SGD_LR_SCHEDULE;15;169.0748933;175.6582796;175.6582796;149.9832449;4070
Exp 6;RNN;SGD_LR_SCHEDULE;16;159.6213201;163.1206522;163.1206522;149.6335804;4220
Exp 6;RNN;SGD_LR_SCHEDULE;17;150.5876075;159.5567761;159.5567761;150.2050865;4370
Exp 6;RNN;SGD_LR_SCHEDULE;18;145.3310907;153.0999155;153.0999155;149.895539;4520
Exp 6;RNN;SGD_LR_SCHEDULE;19;142.5883384;149.7803619;149.7803619;150.2725494;4670
Exp 6;RNN;SGD_LR_SCHEDULE;20;141.5594454;147.249843;147.249843;149.9392424;4820
Exp 6;RNN;SGD_LR_SCHEDULE;21;140.8106836;146.0105881;146.0105881;150.1073992;4970
Exp 6;RNN;SGD_LR_SCHEDULE;22;140.5896134;145.6702673;145.6702673;149.9255288;5120
Exp 6;RNN;SGD_LR_SCHEDULE;23;140.4010886;145.4586111;145.4586111;150.1118979;5270
Exp 6;RNN;SGD_LR_SCHEDULE;24;140.5038255;145.488979;145.4586111;150.0531068;5420
Exp 6;RNN;SGD_LR_SCHEDULE;25;140.6037616;145.4930359;145.4586111;150.1111536;5570
Exp 6;RNN;SGD_LR_SCHEDULE;26;140.1842037;145.494844;145.4586111;149.778841;5720
Exp 6;RNN;SGD_LR_SCHEDULE;27;140.4539569;145.4950895;145.4586111;150.0913174;5870
Exp 6;RNN;SGD_LR_SCHEDULE;28;140.4294928;145.4951108;145.4586111;149.8433218;6020
Exp 6;RNN;SGD_LR_SCHEDULE;29;140.3519897;145.4950991;145.4586111;150.0663991;6170
Exp 6;RNN;SGD_LR_SCHEDULE;30;140.2357019;145.4951097;145.4586111;149.9267113;6320
Exp 6;RNN;SGD_LR_SCHEDULE;31;140.4355698;145.4951033;145.4586111;150.3089304;6470
Exp 6;RNN;SGD_LR_SCHEDULE;32;140.3771153;145.4950937;145.4586111;150.1140473;6620
Exp 6;RNN;SGD_LR_SCHEDULE;33;140.3793039;145.4950937;145.4586111;150.2923436;6770
Exp 6;RNN;SGD_LR_SCHEDULE;34;140.3984575;145.4950937;145.4586111;149.8898184;6920
Exp 6;RNN;SGD_LR_SCHEDULE;35;140.5270364;145.4950937;145.4586111;150.3967116;7070
Exp 6;RNN;SGD_LR_SCHEDULE;36;140.4604788;145.4950937;145.4586111;150.1183662;7220
Exp 6;RNN;SGD_LR_SCHEDULE;37;140.382546;145.4950937;145.4586111;150.2986684;7370
Exp 6;RNN;SGD_LR_SCHEDULE;38;140.2167474;145.4950937;145.4586111;150.0089271;7520
Exp 6;RNN;SGD_LR_SCHEDULE;39;140.468685;145.4950937;145.4586111;150.2486706;7670
Exp 3;RNN;SGD;0;10011.1423519;9847.98269738;9847.98269738;231.811142206192;232
Exp 3;RNN;SGD;1;9902.01263937;9738.09425212;9738.09425212;230.697013139724;463
Exp 3;RNN;SGD;2;9793.85907745;9628.34334855;9628.34334855;230.327807188034;693
Exp 3;RNN;SGD;3;9681.55031612;9518.02138402;9518.02138402;234.796810388565;928
Exp 3;RNN;SGD;4;9573.08301745;9406.24726197;9406.24726197;231.897098541259;1160
