epoch: 0	train ppl: 543.6028625924702	val ppl: 301.8230335334232	best val: 301.8230335334232	time (s) spent in epoch: 140.33691573143005
epoch: 1	train ppl: 245.54915107392972	val ppl: 208.65324195396732	best val: 208.65324195396732	time (s) spent in epoch: 141.20906710624695
epoch: 2	train ppl: 177.2242239084678	val ppl: 174.57670489496778	best val: 174.57670489496778	time (s) spent in epoch: 139.94100069999695
epoch: 3	train ppl: 142.452090137898	val ppl: 155.65822446719304	best val: 155.65822446719304	time (s) spent in epoch: 139.17490220069885
epoch: 4	train ppl: 119.52163354210653	val ppl: 144.82547150888433	best val: 144.82547150888433	time (s) spent in epoch: 140.04207563400269
epoch: 5	train ppl: 102.91834697682982	val ppl: 137.07390679542866	best val: 137.07390679542866	time (s) spent in epoch: 141.10161662101746
epoch: 6	train ppl: 89.72751570521258	val ppl: 131.68984172659214	best val: 131.68984172659214	time (s) spent in epoch: 140.47906875610352
epoch: 7	train ppl: 79.13006716504411	val ppl: 128.14959467002555	best val: 128.14959467002555	time (s) spent in epoch: 140.29997396469116
epoch: 8	train ppl: 70.4083992540657	val ppl: 126.82337519908916	best val: 126.82337519908916	time (s) spent in epoch: 140.28081154823303
epoch: 9	train ppl: 62.92514684270902	val ppl: 125.28747927352303	best val: 125.28747927352303	time (s) spent in epoch: 140.52061247825623
epoch: 10	train ppl: 56.550840422115854	val ppl: 125.95528711179746	best val: 125.28747927352303	time (s) spent in epoch: 134.66533732414246
epoch: 11	train ppl: 50.99165757379801	val ppl: 127.3162190895564	best val: 125.28747927352303	time (s) spent in epoch: 137.43985176086426
epoch: 12	train ppl: 46.152564761120374	val ppl: 129.51063541723605	best val: 125.28747927352303	time (s) spent in epoch: 135.58829593658447
epoch: 13	train ppl: 41.82780398255743	val ppl: 131.53730391398722	best val: 125.28747927352303	time (s) spent in epoch: 135.5853931903839
epoch: 14	train ppl: 38.00319314800671	val ppl: 135.1901307423974	best val: 125.28747927352303	time (s) spent in epoch: 135.63650035858154
epoch: 15	train ppl: 34.56815614999264	val ppl: 139.59569149469183	best val: 125.28747927352303	time (s) spent in epoch: 135.49773836135864
epoch: 16	train ppl: 31.44324155676571	val ppl: 144.9434838608942	best val: 125.28747927352303	time (s) spent in epoch: 135.65122389793396
epoch: 17	train ppl: 28.655709542549758	val ppl: 149.10926835549216	best val: 125.28747927352303	time (s) spent in epoch: 135.16530776023865
epoch: 18	train ppl: 26.104820932174494	val ppl: 155.14308076985435	best val: 125.28747927352303	time (s) spent in epoch: 135.3159761428833
epoch: 19	train ppl: 23.829794195968088	val ppl: 160.27434634453903	best val: 125.28747927352303	time (s) spent in epoch: 135.45598769187927
epoch: 20	train ppl: 21.742568233869985	val ppl: 168.42244284336718	best val: 125.28747927352303	time (s) spent in epoch: 135.49564409255981
epoch: 21	train ppl: 19.91428219489535	val ppl: 175.78922371521696	best val: 125.28747927352303	time (s) spent in epoch: 135.6330008506775
epoch: 22	train ppl: 18.178424916775665	val ppl: 186.77936360115797	best val: 125.28747927352303	time (s) spent in epoch: 135.64137172698975
epoch: 23	train ppl: 16.68745518250455	val ppl: 197.43804294736677	best val: 125.28747927352303	time (s) spent in epoch: 135.58264136314392
epoch: 24	train ppl: 15.236265227489332	val ppl: 211.53534731380373	best val: 125.28747927352303	time (s) spent in epoch: 139.22904014587402
epoch: 25	train ppl: 13.931997401451206	val ppl: 225.50051527245532	best val: 125.28747927352303	time (s) spent in epoch: 136.57683944702148
epoch: 26	train ppl: 12.761853617753282	val ppl: 240.65916721791925	best val: 125.28747927352303	time (s) spent in epoch: 137.6376235485077
epoch: 27	train ppl: 11.732613456553793	val ppl: 255.81402869728328	best val: 125.28747927352303	time (s) spent in epoch: 137.82685470581055
epoch: 28	train ppl: 10.764736318122315	val ppl: 270.765642397375	best val: 125.28747927352303	time (s) spent in epoch: 140.42694878578186
epoch: 29	train ppl: 9.902425780676559	val ppl: 287.3272277021561	best val: 125.28747927352303	time (s) spent in epoch: 140.10509133338928
epoch: 30	train ppl: 9.134823308477234	val ppl: 301.9391366865126	best val: 125.28747927352303	time (s) spent in epoch: 139.69397139549255
epoch: 31	train ppl: 8.428254292328463	val ppl: 316.0531408747736	best val: 125.28747927352303	time (s) spent in epoch: 140.00093603134155
epoch: 32	train ppl: 7.784631076012819	val ppl: 340.7616789119955	best val: 125.28747927352303	time (s) spent in epoch: 140.18310856819153
epoch: 33	train ppl: 7.206708163664118	val ppl: 369.24275122843596	best val: 125.28747927352303	time (s) spent in epoch: 138.4701066017151
epoch: 34	train ppl: 6.651851832480953	val ppl: 393.5474466418537	best val: 125.28747927352303	time (s) spent in epoch: 137.6477451324463
epoch: 35	train ppl: 6.157580154851715	val ppl: 430.5928912805478	best val: 125.28747927352303	time (s) spent in epoch: 137.65050673484802
epoch: 36	train ppl: 5.734164535077078	val ppl: 458.59335205670806	best val: 125.28747927352303	time (s) spent in epoch: 137.60312128067017
epoch: 37	train ppl: 5.328054403371729	val ppl: 498.00031221125965	best val: 125.28747927352303	time (s) spent in epoch: 137.31066226959229
epoch: 38	train ppl: 4.967156896294793	val ppl: 530.5421489129185	best val: 125.28747927352303	time (s) spent in epoch: 137.31119894981384
epoch: 39	train ppl: 4.646493136784637	val ppl: 561.811584966784	best val: 125.28747927352303	time (s) spent in epoch: 137.83999371528625
